No,Original_Name,Name,Generation,Height,Weight,Type1,Type2,Ability1,Ability2,Ability_Hidden,Color,Gender_Male,Gender_Female,Gender_Unknown,Egg_Steps,Egg_Group1,Egg_Group2,Get_Rate,Base_Experience,Experience_Type,Category,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,Picture_URL,sus,amogus
481,Mesprit,Mesprit,4,0.3m,0.3kg,Psychic,,Levitate,,,Pink,0,0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,80,105,105,105,105,80,580,https://assets.pokemon.com/assets/cms2/img/pokedex/full/481.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
482,Azelf,Azelf,4,0.3m,0.3kg,Psychic,,Levitate,,,Blue,0,0,100,80,Undiscovered,,3,290,1250000,Semi-Legendary,75,125,70,125,70,115,580,https://assets.pokemon.com/assets/cms2/img/pokedex/full/482.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
483,Dialga,Dialga,4,5.4m,683.0kg,Steel,Dragon,Pressure,,Telepathy,White,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,100,120,120,150,100,90,680,https://assets.pokemon.com/assets/cms2/img/pokedex/full/483.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
483,Dialga,Dialga Origin Form,4,7.0m,850.0kg,Steel,Dragon,Pressure,,Telepathy,White,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,100,100,120,150,120,90,680,https://assets.pokemon.com/assets/cms2/img/pokedex/full/483.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
484,Palkia,Palkia,4,4.2m,336.0kg,Water,Dragon,Pressure,,Telepathy,Purple,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,90,120,100,150,120,100,680,https://assets.pokemon.com/assets/cms2/img/pokedex/full/484.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
484,Palkia,Palkia Origin Form,4,6.3m,660.0kg,Water,Dragon,Pressure,,Telepathy,Purple,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,90,100,100,150,120,120,680,https://assets.pokemon.com/assets/cms2/img/pokedex/full/484.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
485,Heatran,Heatran,4,1.7m,430.0kg,Fire,Steel,Flash Fire,,Flame Body,Brown,50,50,0,10,Undiscovered,,3,300,1250000,Semi-Legendary,91,90,106,130,106,77,600,https://assets.pokemon.com/assets/cms2/img/pokedex/full/485.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
486,Regigigas,Regigigas,4,3.7m,420.0kg,Normal,,Slow Start,,,White,0,0,100,120,Undiscovered,,3,335,1250000,Semi-Legendary,110,160,110,80,110,100,670,https://assets.pokemon.com/assets/cms2/img/pokedex/full/486.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
487,Giratina,Giratina,4,4.5m,750.0kg,Ghost,Dragon,Pressure,,Telepathy,Black,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,150,100,120,100,120,90,680,https://assets.pokemon.com/assets/cms2/img/pokedex/full/487.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
487,Giratina,Giratina Origin Form,4,6.9m,650.0kg,Ghost,Dragon,Levitate,,,Black,0,0,100,120,Undiscovered,,3,340,1250000,Legendary,150,120,100,120,100,90,680,https://assets.pokemon.com/assets/cms2/img/pokedex/full/487.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
488,Cresselia,Cresselia,4,1.5m,85.6kg,Psychic,,Levitate,,,Yellow,0,100,0,120,Undiscovered,,3,290,1250000,Semi-Legendary,120,70,110,75,120,85,580,https://assets.pokemon.com/assets/cms2/img/pokedex/full/488.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
489,Phione,Phione,4,0.4m,3.1kg,Water,,Hydration,,,Blue,0,0,100,40,Water1,Fairy,30,216,1250000,Mythical,80,80,80,80,80,80,480,https://assets.pokemon.com/assets/cms2/img/pokedex/full/489.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
490,Manaphy,Manaphy,4,0.3m,1.4kg,Water,,Hydration,,,Blue,0,0,100,10,Water1,Fairy,3,270,1250000,Mythical,100,100,100,100,100,100,600,https://assets.pokemon.com/assets/cms2/img/pokedex/full/490.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
491,Darkrai,Darkrai,4,1.5m,50.5kg,Dark,,Bad Dreams,,,Black,0,0,100,120,Undiscovered,,3,270,1250000,Mythical,70,90,90,135,90,125,600,https://assets.pokemon.com/assets/cms2/img/pokedex/full/491.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
492,Shaymin,Shaymin Land Form,4,0.2m,2.1kg,Grass,,Natural Cure,,,Green,0,0,100,120,Undiscovered,,45,270,1059860,Mythical,100,100,100,100,100,100,600,https://assets.pokemon.com/assets/cms2/img/pokedex/full/492.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
492,Shaymin,Shaymin Sky Form,4,0.4m,5.2kg,Grass,Flying,Serene Grace,,,Green,0,0,100,120,Undiscovered,,45,270,1059860,Mythical,100,103,75,120,75,127,600,https://assets.pokemon.com/assets/cms2/img/pokedex/full/492.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
493,Arceus,Arceus,4,3.2m,320.0kg,Normal,,Multitype,,,White,0,0,100,120,Undiscovered,,3,360,1250000,Mythical,120,120,120,120,120,120,720,https://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
494,Victini,Victini,5,0.4m,4.0kg,Psychic,Fire,Victory Star,,,Yellow,0,0,100,120,Undiscovered,,3,300,1250000,Mythical,100,100,100,100,100,100,600,https://assets.pokemon.com/assets/cms2/img/pokedex/full/494.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
495,Snivy,Snivy,5,0.6m,8.1kg,Grass,,Overgrow,,Contrary,Green,87.5,12.5,0,20,Ground,Grass,45,62,1059860,Ordinary,45,45,55,45,55,63,308,https://assets.pokemon.com/assets/cms2/img/pokedex/full/495.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
496,Servine,Servine,5,0.8m,16.0kg,Grass,,Overgrow,,Contrary,Green,87.5,12.5,0,20,Ground,Grass,45,145,1059860,Ordinary,60,60,75,60,75,83,413,https://assets.pokemon.com/assets/cms2/img/pokedex/full/496.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
497,Serperior,Serperior,5,3.3m,63.0kg,Grass,,Overgrow,,Contrary,Green,87.5,12.5,0,20,Ground,Grass,45,238,1059860,Ordinary,75,75,95,75,95,113,528,https://assets.pokemon.com/assets/cms2/img/pokedex/full/497.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
498,Tepig,Tepig,5,0.5m,9.9kg,Fire,,Blaze,,Thick Fat,Red,87.5,12.5,0,20,Ground,,45,62,1059860,Ordinary,65,63,45,45,45,45,308,https://assets.pokemon.com/assets/cms2/img/pokedex/full/498.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
499,Pignite,Pignite,5,1.0m,55.5kg,Fire,Fighting,Blaze,,Thick Fat,Red,87.5,12.5,0,20,Ground,,45,146,1059860,Ordinary,90,93,55,70,55,55,418,https://assets.pokemon.com/assets/cms2/img/pokedex/full/499.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
500,Emboar,Emboar,5,1.6m,150.0kg,Fire,Fighting,Blaze,,Reckless,Red,87.5,12.5,0,20,Ground,,45,238,1059860,Ordinary,110,123,65,100,65,65,528,https://assets.pokemon.com/assets/cms2/img/pokedex/full/500.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
501,Oshawott,Oshawott,5,0.5m,5.9kg,Water,,Torrent,,Shell Armor,Blue,87.5,12.5,0,20,Ground,,45,62,1059860,Ordinary,55,55,45,63,45,45,308,https://assets.pokemon.com/assets/cms2/img/pokedex/full/501.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
502,Dewott,Dewott,5,0.8m,24.5kg,Water,,Torrent,,Shell Armor,Blue,87.5,12.5,0,20,Ground,,45,145,1059860,Ordinary,75,75,60,83,60,60,413,https://assets.pokemon.com/assets/cms2/img/pokedex/full/502.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
503,Samurott,Samurott,5,1.5m,94.6kg,Water,,Torrent,,Shell Armor,Blue,87.5,12.5,0,20,Ground,,45,264,1059860,Ordinary,95,100,85,108,70,70,528,https://assets.pokemon.com/assets/cms2/img/pokedex/full/503.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
503,Samurott,Hisuian Samurott,5,1.5m,58.2kg,Water,Dark,Torrent,,Sharpness,Blue,87.5,12.5,0,20,Ground,,45,264,1059860,Ordinary,90,108,80,100,65,85,528,https://assets.pokemon.com/assets/cms2/img/pokedex/full/503.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
504,Patrat,Patrat,5,0.5m,11.6kg,Normal,,Run Away,Keen Eye,Analytic,Brown,50,50,0,15,Ground,,255,51,1000000,Ordinary,45,55,39,35,39,42,255,https://assets.pokemon.com/assets/cms2/img/pokedex/full/504.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
505,Watchog,Watchog,5,1.1m,27.0kg,Normal,,Illuminate,Keen Eye,Analytic,Brown,50,50,0,20,Ground,,255,147,1000000,Ordinary,60,85,69,60,69,77,420,https://assets.pokemon.com/assets/cms2/img/pokedex/full/505.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
506,Lillipup,Lillipup,5,0.4m,4.1kg,Normal,,Vital Spirit,Pickup,Run Away,Brown,50,50,0,15,Ground,,255,55,1059860,Ordinary,45,60,45,25,45,55,275,https://assets.pokemon.com/assets/cms2/img/pokedex/full/506.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
507,Herdier,Herdier,5,0.9m,14.7kg,Normal,,Intimidate,Sand Rush,Scrappy,Gray,50,50,0,15,Ground,,120,130,1059860,Ordinary,65,80,65,35,65,60,370,https://assets.pokemon.com/assets/cms2/img/pokedex/full/507.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
508,Stoutland,Stoutland,5,1.2m,61.0kg,Normal,,Intimidate,Sand Rush,Scrappy,Gray,50,50,0,15,Ground,,45,250,1059860,Ordinary,85,110,90,45,90,80,500,https://assets.pokemon.com/assets/cms2/img/pokedex/full/508.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
509,Purrloin,Purrloin,5,0.4m,10.1kg,Dark,,Limber,Unburden,Prankster,Purple,50,50,0,20,Ground,,255,56,1000000,Ordinary,41,50,37,50,37,66,281,https://assets.pokemon.com/assets/cms2/img/pokedex/full/509.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
510,Liepard,Liepard,5,1.1m,37.5kg,Dark,,Limber,Unburden,Prankster,Purple,50,50,0,20,Ground,,90,156,1000000,Ordinary,64,88,50,88,50,106,446,https://assets.pokemon.com/assets/cms2/img/pokedex/full/510.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
511,Pansage,Pansage,5,0.6m,10.5kg,Grass,,Gluttony,,Overgrow,Green,87.5,12.5,0,20,Ground,,190,63,1000000,Ordinary,50,53,48,53,48,64,316,https://assets.pokemon.com/assets/cms2/img/pokedex/full/511.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
512,Simisage,Simisage,5,1.1m,30.5kg,Grass,,Gluttony,,Overgrow,Green,87.5,12.5,0,20,Ground,,75,174,1000000,Ordinary,75,98,63,98,63,101,498,https://assets.pokemon.com/assets/cms2/img/pokedex/full/512.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
513,Pansear,Pansear,5,0.6m,11.0kg,Fire,,Gluttony,,Blaze,Red,87.5,12.5,0,20,Ground,,190,63,1000000,Ordinary,50,53,48,53,48,64,316,https://assets.pokemon.com/assets/cms2/img/pokedex/full/513.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
514,Simisear,Simisear,5,1.0m,28.0kg,Fire,,Gluttony,,Blaze,Red,87.5,12.5,0,20,Ground,,75,174,1000000,Ordinary,75,98,63,98,63,101,498,https://assets.pokemon.com/assets/cms2/img/pokedex/full/514.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
515,Panpour,Panpour,5,0.6m,13.5kg,Water,,Gluttony,,Torrent,Blue,87.5,12.5,0,20,Ground,,190,63,1000000,Ordinary,50,53,48,53,48,64,316,https://assets.pokemon.com/assets/cms2/img/pokedex/full/515.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
516,Simipour,Simipour,5,1.0m,29.0kg,Water,,Gluttony,,Torrent,Blue,87.5,12.5,0,20,Ground,,75,174,1000000,Ordinary,75,98,63,98,63,101,498,https://assets.pokemon.com/assets/cms2/img/pokedex/full/516.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
517,Munna,Munna,5,0.6m,23.3kg,Psychic,,Forewarn,Synchronize,Telepathy,Pink,50,50,0,10,Ground,,190,58,800000,Ordinary,76,25,45,67,55,24,292,https://assets.pokemon.com/assets/cms2/img/pokedex/full/517.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
518,Musharna,Musharna,5,1.1m,60.5kg,Psychic,,Forewarn,Synchronize,Telepathy,Pink,50,50,0,10,Ground,,75,170,800000,Ordinary,116,55,85,107,95,29,487,https://assets.pokemon.com/assets/cms2/img/pokedex/full/518.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
519,Pidove,Pidove,5,0.3m,2.1kg,Normal,Flying,Big Pecks,Super Luck,Rivalry,Gray,50,50,0,15,Flying,,255,53,1059860,Ordinary,50,55,50,36,30,43,264,https://assets.pokemon.com/assets/cms2/img/pokedex/full/519.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
520,Tranquill,Tranquill,5,0.6m,15.0kg,Normal,Flying,Big Pecks,Super Luck,Rivalry,Gray,50,50,0,15,Flying,,120,125,1059860,Ordinary,62,77,62,50,42,65,358,https://assets.pokemon.com/assets/cms2/img/pokedex/full/520.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
521,Unfezant,Unfezant,5,1.2m,29.0kg,Normal,Flying,Big Pecks,Super Luck,Rivalry,Gray,50,50,0,15,Flying,,45,244,1059860,Ordinary,80,115,80,65,55,93,488,https://assets.pokemon.com/assets/cms2/img/pokedex/full/521.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
522,Blitzle,Blitzle,5,0.8m,29.8kg,Electric,,Lightning Rod,Motor Drive,Sap Sipper,Black,50,50,0,20,Ground,,190,59,1000000,Ordinary,45,60,32,50,32,76,295,https://assets.pokemon.com/assets/cms2/img/pokedex/full/522.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
523,Zebstrika,Zebstrika,5,1.6m,79.5kg,Electric,,Lightning Rod,Motor Drive,Sap Sipper,Black,50,50,0,20,Ground,,75,174,1000000,Ordinary,75,100,63,80,63,116,497,https://assets.pokemon.com/assets/cms2/img/pokedex/full/523.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
524,Roggenrola,Roggenrola,5,0.4m,18.0kg,Rock,,Sturdy,Weak Armor,Sand Force,Blue,50,50,0,15,Mineral,,255,56,1059860,Ordinary,55,75,85,25,25,15,280,https://assets.pokemon.com/assets/cms2/img/pokedex/full/524.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
525,Boldore,Boldore,5,0.9m,102.0kg,Rock,,Sturdy,Weak Armor,Sand Force,Blue,50,50,0,15,Mineral,,120,137,1059860,Ordinary,70,105,105,50,40,20,390,https://assets.pokemon.com/assets/cms2/img/pokedex/full/525.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
526,Gigalith,Gigalith,5,1.7m,260.0kg,Rock,,Sturdy,Sand Stream,Sand Force,Blue,50,50,0,15,Mineral,,45,258,1059860,Ordinary,85,135,130,60,80,25,515,https://assets.pokemon.com/assets/cms2/img/pokedex/full/526.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
527,Woobat,Woobat,5,0.4m,2.1kg,Psychic,Flying,Unaware,Klutz,Simple,Blue,50,50,0,15,Ground,Flying,190,65,1000000,Ordinary,65,45,43,55,43,72,323,https://assets.pokemon.com/assets/cms2/img/pokedex/full/527.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
528,Swoobat,Swoobat,5,0.9m,10.5kg,Psychic,Flying,Unaware,Klutz,Simple,Blue,50,50,0,15,Ground,Flying,45,149,1000000,Ordinary,67,57,55,77,55,114,425,https://assets.pokemon.com/assets/cms2/img/pokedex/full/528.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
529,Drilbur,Drilbur,5,0.3m,8.5kg,Ground,,Sand Rush,Sand Force,Mold Breaker,Gray,50,50,0,20,Ground,,120,66,1000000,Ordinary,60,85,40,30,45,68,328,https://assets.pokemon.com/assets/cms2/img/pokedex/full/529.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
530,Excadrill,Excadrill,5,0.7m,40.4kg,Ground,Steel,Sand Rush,Sand Force,Mold Breaker,Gray,50,50,0,20,Ground,,60,178,1000000,Ordinary,110,135,60,50,65,88,508,https://assets.pokemon.com/assets/cms2/img/pokedex/full/530.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
531,Audino,Audino,5,1.1m,31.0kg,Normal,,Healer,Regenerator,Klutz,Pink,50,50,0,20,Fairy,,255,390,800000,Ordinary,103,60,86,60,86,50,445,https://assets.pokemon.com/assets/cms2/img/pokedex/full/531.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
531,Audino,Mega Audino,5,1.5m,32.0kg,Normal,Fairy,Healer,,,White,50,50,0,20,Fairy,,255,425,800000,Ordinary,103,60,126,80,126,50,545,https://assets.pokemon.com/assets/cms2/img/pokedex/full/531.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
532,Timburr,Timburr,5,0.6m,12.5kg,Fighting,,Guts,Sheer Force,Iron Fist,Gray,75,25,0,20,Human-Like,,180,61,1059860,Ordinary,75,80,55,25,35,35,305,https://assets.pokemon.com/assets/cms2/img/pokedex/full/532.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
533,Gurdurr,Gurdurr,5,1.2m,40.0kg,Fighting,,Guts,Sheer Force,Iron Fist,Gray,75,25,0,20,Human-Like,,90,142,1059860,Ordinary,85,105,85,40,50,40,405,https://assets.pokemon.com/assets/cms2/img/pokedex/full/533.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
534,Conkeldurr,Conkeldurr,5,1.4m,87.0kg,Fighting,,Guts,Sheer Force,Iron Fist,Brown,75,25,0,20,Human-Like,,45,253,1059860,Ordinary,105,140,95,55,65,45,505,https://assets.pokemon.com/assets/cms2/img/pokedex/full/534.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
535,Tympole,Tympole,5,0.5m,4.5kg,Water,,Swift Swim,Hydration,Water Absorb,Blue,50,50,0,20,Water1,,255,59,1059860,Ordinary,50,50,40,50,40,64,294,https://assets.pokemon.com/assets/cms2/img/pokedex/full/535.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
536,Palpitoad,Palpitoad,5,0.8m,17.0kg,Water,Ground,Swift Swim,Hydration,Water Absorb,Blue,50,50,0,20,Water1,,120,134,1059860,Ordinary,75,65,55,65,55,69,384,https://assets.pokemon.com/assets/cms2/img/pokedex/full/536.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
537,Seismitoad,Seismitoad,5,1.5m,62.0kg,Water,Ground,Swift Swim,Poison Touch,Water Absorb,Blue,50,50,0,20,Water1,,45,255,1059860,Ordinary,105,95,75,85,75,74,509,https://assets.pokemon.com/assets/cms2/img/pokedex/full/537.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
538,Throh,Throh,5,1.3m,55.5kg,Fighting,,Guts,Inner Focus,Mold Breaker,Red,100,0,0,20,Human-Like,,45,163,1000000,Ordinary,120,100,85,30,85,45,465,https://assets.pokemon.com/assets/cms2/img/pokedex/full/538.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
539,Sawk,Sawk,5,1.4m,51.0kg,Fighting,,Sturdy,Inner Focus,Mold Breaker,Blue,100,0,0,20,Human-Like,,45,163,1000000,Ordinary,75,125,75,30,75,85,465,https://assets.pokemon.com/assets/cms2/img/pokedex/full/539.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
540,Sewaddle,Sewaddle,5,0.3m,2.5kg,Bug,Grass,Swarm,Chlorophyll,Overcoat,Yellow,50,50,0,15,Bug,,255,62,1059860,Ordinary,45,53,70,40,60,42,310,https://assets.pokemon.com/assets/cms2/img/pokedex/full/540.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
541,Swadloon,Swadloon,5,0.5m,7.3kg,Bug,Grass,Leaf Guard,Chlorophyll,Overcoat,Green,50,50,0,15,Bug,,120,133,1059860,Ordinary,55,63,90,50,80,42,380,https://assets.pokemon.com/assets/cms2/img/pokedex/full/541.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
542,Leavanny,Leavanny,5,1.2m,20.5kg,Bug,Grass,Swarm,Chlorophyll,Overcoat,Yellow,50,50,0,15,Bug,,45,225,1059860,Ordinary,75,103,80,70,80,92,500,https://assets.pokemon.com/assets/cms2/img/pokedex/full/542.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
543,Venipede,Venipede,5,0.4m,5.3kg,Bug,Poison,Poison Point,Swarm,Speed Boost,Red,50,50,0,15,Bug,,255,52,1059860,Ordinary,30,45,59,30,39,57,260,https://assets.pokemon.com/assets/cms2/img/pokedex/full/543.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
544,Whirlipede,Whirlipede,5,1.2m,58.5kg,Bug,Poison,Poison Point,Swarm,Speed Boost,Gray,50,50,0,15,Bug,,120,126,1059860,Ordinary,40,55,99,40,79,47,360,https://assets.pokemon.com/assets/cms2/img/pokedex/full/544.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
545,Scolipede,Scolipede,5,2.5m,200.5kg,Bug,Poison,Poison Point,Swarm,Speed Boost,Red,50,50,0,20,Bug,,45,243,1059860,Ordinary,60,100,89,55,69,112,485,https://assets.pokemon.com/assets/cms2/img/pokedex/full/545.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
546,Cottonee,Cottonee,5,0.3m,0.6kg,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Green,50,50,0,20,Grass,Fairy,190,56,1000000,Ordinary,40,27,60,37,50,66,280,https://assets.pokemon.com/assets/cms2/img/pokedex/full/546.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
547,Whimsicott,Whimsicott,5,0.7m,6.6kg,Grass,Fairy,Prankster,Infiltrator,Chlorophyll,Green,50,50,0,20,Grass,Fairy,75,168,1000000,Ordinary,60,67,85,77,75,116,480,https://assets.pokemon.com/assets/cms2/img/pokedex/full/547.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
548,Petilil,Petilil,5,0.5m,6.6kg,Grass,,Chlorophyll,Own Tempo,Leaf Guard,Green,0,100,0,20,Grass,,190,56,1000000,Ordinary,45,35,50,70,50,30,280,https://assets.pokemon.com/assets/cms2/img/pokedex/full/548.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
549,Lilligant,Lilligant,5,1.1m,16.3kg,Grass,,Chlorophyll,Own Tempo,Leaf Guard,Green,0,100,0,20,Grass,,75,168,1000000,Ordinary,70,60,75,110,75,90,480,https://assets.pokemon.com/assets/cms2/img/pokedex/full/549.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
549,Lilligant,Hisuian Lilligant,5,1.2m,19.2kg,Grass,Fighting,Chlorophyll,Hustle,Leaf Guard,Green,0,100,0,20,Grass,,75,168,1000000,Ordinary,70,105,75,50,75,105,480,https://assets.pokemon.com/assets/cms2/img/pokedex/full/549.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
550,Basculin,Basculin Red Stripe,5,1.0m,18.0kg,Water,,Reckless,Adaptability,Mold Breaker,Green,50,50,0,40,Water2,,25,161,1000000,Ordinary,70,92,65,80,55,98,460,https://assets.pokemon.com/assets/cms2/img/pokedex/full/550.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
550,Basculin,Basculin Blue Stripe,5,1.0m,18.0kg,Water,,Rock Head,Adaptability,Mold Breaker,Green,50,50,0,40,Water2,,25,161,1000000,Ordinary,70,92,65,80,55,98,460,https://assets.pokemon.com/assets/cms2/img/pokedex/full/550.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
550,Basculin,Hisuian Basculin,5,1.0m,18.0kg,Water,,Rattled,Adaptability,Mold Breaker,Green,50,50,0,40,Water2,,25,161,1000000,Ordinary,70,92,65,80,55,98,460,https://assets.pokemon.com/assets/cms2/img/pokedex/full/550.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
551,Sandile,Sandile,5,0.7m,15.2kg,Ground,Dark,Intimidate,Moxie,Anger Point,Brown,50,50,0,20,Ground,,180,58,1059860,Ordinary,50,72,35,35,35,65,292,https://assets.pokemon.com/assets/cms2/img/pokedex/full/551.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
552,Krokorok,Krokorok,5,1.0m,33.4kg,Ground,Dark,Intimidate,Moxie,Anger Point,Brown,50,50,0,20,Ground,,90,123,1059860,Ordinary,60,82,45,45,45,74,351,https://assets.pokemon.com/assets/cms2/img/pokedex/full/552.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
553,Krookodile,Krookodile,5,1.5m,96.3kg,Ground,Dark,Intimidate,Moxie,Anger Point,Red,50,50,0,20,Ground,,45,260,1059860,Ordinary,95,117,80,65,70,92,519,https://assets.pokemon.com/assets/cms2/img/pokedex/full/553.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
554,Darumaka,Darumaka,5,0.6m,37.5kg,Fire,,Hustle,,Inner Focus,Red,50,50,0,20,Ground,,120,63,1059860,Ordinary,70,90,45,15,45,50,315,https://assets.pokemon.com/assets/cms2/img/pokedex/full/554.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
554,Darumaka,Galarian Darumaka,5,0.7m,40.0kg,Ice,,Hustle,,Inner Focus,White,50,50,0,20,Ground,,120,63,1059860,Ordinary,70,90,45,15,45,50,315,https://assets.pokemon.com/assets/cms2/img/pokedex/full/554.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
555,Darmanitan,Darmanitan,5,1.3m,92.9kg,Fire,,Sheer Force,,Zen Mode,Red,50,50,0,20,Ground,,60,168,1059860,Ordinary,105,140,55,30,55,95,480,https://assets.pokemon.com/assets/cms2/img/pokedex/full/555.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
555,Darmanitan,Darmanitan Zen-Mode,5,1.3m,92.9kg,Fire,Psychic,Sheer Force,,Zen Mode,Blue,50,50,0,20,Ground,,60,189,1059860,Ordinary,105,30,105,140,105,55,540,https://assets.pokemon.com/assets/cms2/img/pokedex/full/555.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
555,Darmanitan,Galarian Darmanitan,5,1.7m,120.0kg,Ice,,Gorilla Tactics,,Zen Mode,White,50,50,0,20,Ground,,60,168,1059860,Ordinary,105,140,55,30,55,95,480,https://assets.pokemon.com/assets/cms2/img/pokedex/full/555.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
555,Darmanitan,Galarian Darmanitan Zen-Mode,5,1.7m,120.0kg,Ice,Fire,Gorilla Tactics,,Zen Mode,White,50,50,0,20,Ground,,60,189,1059860,Ordinary,105,160,55,30,55,135,540,https://assets.pokemon.com/assets/cms2/img/pokedex/full/555.png,2023-02-12 00:30:00+00,2023-02-12 00:30:00+00
